"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2017","13,436.10","13,270.38","13,442.61","13,270.38","482.12M","1.29%"
"01/16/2017","13,264.82","13,300.28","13,300.28","13,138.75","404.71M","-0.17%"
"01/15/2017","13,287.76","13,247.15","13,367.62","13,247.15","546.82M","0.48%"
"01/12/2017","13,223.90","13,114.01","13,235.03","13,114.01","480.54M","1.03%"
"01/11/2017","13,089.05","13,025.17","13,104.14","13,004.59","336.64M","0.57%"
"01/10/2017","13,014.54","12,818.74","13,044.60","12,818.74","425.45M","1.83%"
"01/09/2017","12,781.16","12,887.54","12,891.66","12,739.79","505.49M","-0.86%"
"01/08/2017","12,891.39","12,878.90","12,946.75","12,878.90","737.55M","0.52%"
"01/05/2017","12,824.32","12,615.58","12,826.25","12,615.58","769.90M","1.71%"
"01/04/2017","12,608.44","12,460.61","12,635.55","12,460.61","430.46M","1.47%"
"01/03/2017","12,425.17","12,295.60","12,430.85","12,293.04","309.86M","1.09%"
"01/02/2017","12,290.61","12,326.70","12,405.22","12,290.60","333.19M","-0.44%"
"12/29/2016","12,344.89","12,303.58","12,411.15","12,301.87","396.81M","0.69%"
"12/28/2016","12,259.83","12,188.83","12,300.28","12,188.83","299.39M","0.64%"
"12/27/2016","12,181.98","12,186.25","12,229.87","12,181.98","579.45M","0.00%"
"12/26/2016","12,182.04","12,228.58","12,262.99","12,182.04","294.60M","-0.56%"
"12/25/2016","12,251.06","12,399.15","12,399.15","12,251.06","218.16M","-1.36%"
"12/22/2016","12,420.30","12,405.66","12,534.00","12,405.66","562.42M","0.43%"
"12/21/2016","12,366.96","12,186.83","12,366.96","12,177.34","603.79M","1.80%"
"12/20/2016","12,147.95","11,985.45","12,170.03","11,985.45","533.44M","3.37%"
"12/19/2016","11,752.46","11,414.08","11,752.48","11,409.76","699.76M","3.11%"
"12/18/2016","11,398.01","11,381.53","11,425.68","11,381.53","208.67M","0.64%"
"12/15/2016","11,326.03","11,320.26","11,383.45","11,314.36","284.29M","0.08%"
"12/14/2016","11,317.17","11,380.95","11,398.96","11,313.24","315.34M","-0.60%"
