"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2018","11,158.62","11,134.16","11,164.36","11,073.59","","0.22%"
"11/23/2018","11,134.16","11,170.86","11,192.17","11,133.89","","-0.33%"
"11/22/2018","11,170.86","11,210.37","11,210.43","11,163.78","","-0.35%"
"11/19/2018","11,210.37","11,143.56","11,210.37","11,072.35","","0.60%"
"11/16/2018","11,143.56","11,153.28","11,171.43","11,136.30","","-0.09%"
"11/15/2018","11,153.28","11,110.44","11,178.28","11,110.44","","0.39%"
"11/14/2018","11,110.44","11,055.01","11,111.24","11,047.22","","0.50%"
"11/13/2018","11,055.01","10,989.98","11,063.05","10,969.50","","0.59%"
"11/12/2018","10,989.98","11,076.25","11,108.32","10,986.56","","-0.78%"
"11/09/2018","11,076.25","11,020.53","11,095.63","11,005.44","","0.51%"
"11/08/2018","11,020.53","10,912.04","11,041.56","10,909.50","","0.99%"
"11/07/2018","10,912.04","10,897.44","10,946.90","10,885.88","","0.13%"
"11/05/2018","10,897.44","10,885.51","10,978.60","10,876.79","","0.11%"
"11/02/2018","10,885.51","10,902.94","10,937.68","10,874.77","","-0.16%"
"11/01/2018","10,902.94","10,919.67","10,959.25","10,883.55","","-0.15%"
"10/31/2018","10,919.67","10,916.02","10,958.94","10,905.91","","0.03%"
"10/30/2018","10,916.02","11,028.07","11,028.07","10,912.01","","-1.02%"
"10/29/2018","11,028.07","11,070.96","11,086.44","11,022.89","","-0.39%"
"10/26/2018","11,070.96","11,099.91","11,124.68","11,057.91","","-0.26%"
"10/25/2018","11,099.91","11,139.81","11,150.23","11,099.10","","-0.36%"
"10/24/2018","11,139.81","11,185.45","11,187.33","11,138.48","","-0.41%"
"10/23/2018","11,185.45","11,183.50","11,191.88","11,125.03","","0.02%"
"10/22/2018","11,183.50","11,119.06","11,183.50","11,103.06","","0.58%"
"10/19/2018","11,119.06","11,157.90","11,207.77","11,116.29","","-0.35%"
"10/18/2018","11,157.90","11,152.98","11,162.36","11,079.39","","0.04%"
"10/17/2018","11,152.98","11,168.68","11,168.68","11,121.44","","-0.14%"
"10/16/2018","11,168.68","11,141.39","11,168.68","11,111.84","","0.24%"
"10/15/2018","11,141.39","11,151.45","11,164.88","11,137.63","","-0.09%"
"10/12/2018","11,151.45","11,160.65","11,211.69","11,148.71","","-0.08%"
"10/11/2018","11,160.65","11,184.14","11,201.66","11,155.27","","-0.21%"
"10/10/2018","11,184.14","11,224.54","11,243.43","11,176.50","","-0.36%"
"10/09/2018","11,224.54","11,190.52","11,232.00","11,169.32","","0.30%"
"10/08/2018","11,190.52","11,211.21","11,217.08","11,162.74","","-0.18%"
"10/05/2018","11,211.21","11,328.88","11,342.12","11,211.21","","-1.04%"
"10/04/2018","11,328.88","11,311.64","11,344.71","11,309.75","","0.15%"
"10/03/2018","11,311.64","11,303.08","11,320.17","11,261.98","","0.08%"
"10/02/2018","11,303.08","11,267.03","11,318.33","11,267.03","","0.32%"
"10/01/2018","11,267.03","11,335.55","11,336.22","11,267.03","","-0.60%"
"09/28/2018","11,335.55","11,377.24","11,383.95","11,311.94","","-0.37%"
"09/27/2018","11,377.24","11,329.76","11,377.24","11,260.88","","0.42%"
"09/26/2018","11,329.76","11,238.86","11,329.76","11,189.26","","0.81%"
"09/25/2018","11,238.86","11,140.82","11,241.92","11,124.14","","0.88%"
"09/24/2018","11,140.82","11,196.39","11,208.53","11,136.55","","-0.50%"
"09/21/2018","11,196.39","11,199.02","11,215.19","11,153.73","","-0.02%"
"09/20/2018","11,199.02","11,146.18","11,222.29","11,144.37","","0.47%"
"09/19/2018","11,146.18","11,166.78","11,168.46","11,125.29","","-0.34%"
"09/18/2018","11,184.02","11,137.44","11,185.39","11,106.19","","0.41%"
"09/17/2018","11,138.11","11,156.70","11,179.79","11,098.61","","-0.22%"
"09/14/2018","11,162.43","11,210.32","11,210.32","11,162.01","","-0.43%"
"09/13/2018","11,210.89","11,151.04","11,216.41","11,124.07","","0.54%"
"09/12/2018","11,151.04","11,156.43","11,173.02","11,133.73","","-0.05%"
"09/10/2018","11,156.43","11,102.93","11,180.72","11,098.13","","0.48%"
"09/07/2018","11,102.93","11,299.64","11,348.78","11,102.93","","-1.74%"
"09/06/2018","11,299.89","11,391.81","11,411.72","11,299.89","","-0.81%"
"09/05/2018","11,391.81","11,468.87","11,469.02","11,367.96","","-0.67%"
"09/04/2018","11,468.87","11,464.07","11,516.46","11,454.51","","0.04%"
"09/03/2018","11,464.07","11,546.49","11,546.49","11,453.19","","-0.71%"
"08/31/2018","11,546.49","11,610.59","11,611.54","11,523.51","","-0.55%"
"08/30/2018","11,610.59","11,639.63","11,639.63","11,578.47","","-0.25%"
"08/29/2018","11,639.63","11,696.53","11,708.11","11,639.61","","-0.49%"
"08/28/2018","11,696.53","11,669.55","11,706.46","11,660.00","","0.23%"
"08/27/2018","11,669.55","11,702.75","11,725.11","11,669.07","","-0.28%"
"08/24/2018","11,702.84","11,720.32","11,720.37","11,658.22","","-0.15%"
"08/17/2018","11,720.32","11,603.72","11,720.32","11,575.61","","1.00%"
"08/16/2018","11,603.72","11,610.79","11,645.93","11,569.43","","-0.06%"
"08/15/2018","11,610.79","11,618.28","11,618.28","11,576.41","","-0.06%"
"08/13/2018","11,618.28","11,702.66","11,702.66","11,598.75","","-0.72%"
"08/10/2018","11,702.66","11,774.66","11,820.72","11,698.30","","-0.61%"
"08/09/2018","11,774.66","11,785.22","11,787.32","11,747.65","","-0.09%"
"08/08/2018","11,785.22","11,773.35","11,785.91","11,732.02","","0.10%"
"08/07/2018","11,773.35","11,751.00","11,781.82","11,724.40","","0.19%"
"08/06/2018","11,751.00","11,732.55","11,759.26","11,667.65","","0.16%"
"08/03/2018","11,732.55","11,760.53","11,774.00","11,679.81","","-0.24%"
